Date (CET);LDZ;Actual;Normal
10/07/2016;127.8572724;19.46853147;18.46948754
11/07/2016;126.79139;17.84915085;18.49078255
12/07/2016;130.4715968;17.57442557;18.50942118
13/07/2016;126.2969486;19.39430569;18.52539792
14/07/2016;123.4552876;20.25624376;18.53870803
15/07/2016;124.2204576;21.17582418;18.54934756
16/07/2016;118.6639822;22.46343656;18.55731336
17/07/2016;119.669996;24.32997003;18.56260307
18/07/2016;114.6389274;26.08901099;18.56521512
19/07/2016;111.3046818;25.08951049;18.56514875
20/07/2016;110.3005404;21.99000999;18.56240396
21/07/2016;114.036889;22.34945055;18.55698157
22/07/2016;113.570453;22.3959041;18.5488832
23/07/2016;116.4690202;19.97772228;18.53811123
24/07/2016;117.0742378;19.75344655;18.52466886
25/07/2016;122.0609032;21.08161838;18.50856008
26/07/2016;114.6614196;22.08771229;18.48978965
27/07/2016;117.3509176;22.33456543;18.46836314
28/07/2016;119.0455062;21.71608392;18.4442869
29/07/2016;115.366445;20.15604396;18.41756807
30/07/2016;119.4147414;19.83686314;18.38821455
31/07/2016;128.9027958;21.81278721;18.35623505
01/08/2016;120.2717222;22.53016983;18.32163905
